2025-08-21 15:46:48 | INFO | assembly_info_utils | fetch_wb_assembly_task_info | Получили статус запроса 200
2025-08-21 15:46:48 | INFO | assembly_info_utils | fetch_wb_assembly_task_info | Получили статус запроса 200
2025-08-21 15:46:48 | INFO | assembly_info_utils | fetch_wb_assembly_task_info | Получили статус запроса 200
2025-08-21 15:46:48 | INFO | assembly_info_utils | fetch_wb_assembly_task_info | Получили статус запроса 200
2025-08-21 15:46:48 | INFO | assembly_info_utils | fetch_wb_assembly_task_info | Получили статус запроса 200
2025-08-21 15:46:48 | INFO | assembly_info_utils | fetch_wb_assembly_task_info | Получили статус запроса 200
2025-08-21 15:46:48 | INFO | assembly_info_utils | fetch_wb_assembly_task_info | Получили статус запроса 200
2025-08-21 15:46:48 | INFO | assembly_info_utils | fetch_wb_assembly_task_info | Получили статус запроса 200
2025-08-21 15:46:48 | INFO | assembly_info_utils | fetch_wb_assembly_task_info | Получили статус запроса 200
2025-08-21 15:46:48 | INFO | assembly_info_utils | fetch_wb_assembly_task_info | Получили статус запроса 200
2025-08-21 15:46:49 | INFO | assembly_info_utils | fetch_wb_assembly_task_info | Получили статус запроса 200
2025-08-21 15:46:49 | INFO | assembly_info_utils | fetch_wb_assembly_task_info | Получили статус запроса 200
2025-08-21 15:46:49 | INFO | assembly_info_utils | fetch_wb_assembly_task_info | Получили статус запроса 200
2025-08-21 15:46:49 | INFO | assembly_info_utils | fetch_wb_assembly_task_info | Получили статус запроса 200
2025-08-21 15:46:49 | INFO | assembly_info_utils | fetch_wb_assembly_task_info | Получили статус запроса 200
2025-08-21 15:46:50 | INFO | assembly_info_utils | fetch_wb_assembly_task_info | Получили статус запроса 200
2025-08-21 15:46:50 | INFO | assembly_info_utils | fetch_wb_assembly_task_info | Получили статус запроса 200
2025-08-21 15:46:50 | INFO | assembly_info_utils | fetch_wb_assembly_task_info | Получили статус запроса 200
2025-08-21 15:46:50 | INFO | assembly_info_utils | fetch_wb_assembly_task_info | Получили статус запроса 200
